entity_id,indicator_id,period,value,unit,source_id,retrieved_at,quality_flag,notes
cf-p-bamingui-bangoran-v1,population_totale,2003,43229,habitants,citypopulation-de-caf,2026-09-09,,"Recensement (RGPH-3), relayé par citypopulation.de."
cf-p-bamingui-bangoran-v1,population_totale,2021,82108,habitants,citypopulation-de-caf,2026-09-09,estime,Estimation relayée par citypopulation.de ; la source déclare elle-même que ce chiffre provient d'une cartographie numérique incomplète en préparation du recensement suivant.
cf-p-bangui-v1,population_totale,2003,824057,habitants,citypopulation-de-caf,2026-09-09,,"Recensement (RGPH-3), relayé par citypopulation.de."
cf-p-bangui-v1,population_totale,2021,1425276,habitants,citypopulation-de-caf,2026-09-09,estime,Estimation relayée par citypopulation.de ; la source déclare elle-même que ce chiffre provient d'une cartographie numérique incomplète en préparation du recensement suivant.
cf-p-basse-kotto-v1,population_totale,2003,249150,habitants,citypopulation-de-caf,2026-09-09,,"Recensement (RGPH-3), relayé par citypopulation.de."
cf-p-basse-kotto-v1,population_totale,2021,380172,habitants,citypopulation-de-caf,2026-09-09,estime,Estimation relayée par citypopulation.de ; la source déclare elle-même que ce chiffre provient d'une cartographie numérique incomplète en préparation du recensement suivant.
cf-p-haute-kotto-v1,population_totale,2003,90316,habitants,citypopulation-de-caf,2026-09-09,,"Recensement (RGPH-3), relayé par citypopulation.de."
cf-p-haute-kotto-v1,population_totale,2021,128342,habitants,citypopulation-de-caf,2026-09-09,estime,Estimation relayée par citypopulation.de ; la source déclare elle-même que ce chiffre provient d'une cartographie numérique incomplète en préparation du recensement suivant.
cf-p-haut-mbomou-v1,population_totale,2003,57602,habitants,citypopulation-de-caf,2026-09-09,,"Recensement (RGPH-3), relayé par citypopulation.de."
cf-p-haut-mbomou-v1,population_totale,2021,52314,habitants,citypopulation-de-caf,2026-09-09,estime,Estimation relayée par citypopulation.de ; la source déclare elle-même que ce chiffre provient d'une cartographie numérique incomplète en préparation du recensement suivant.
cf-p-kemo-v1,population_totale,2003,118420,habitants,citypopulation-de-caf,2026-09-09,,"Recensement (RGPH-3), relayé par citypopulation.de."
