prefecture,pcode,pop_2003,pop_2021,citypop_subpref_count
Bamingui-Bangoran,CF51,43229,82108,2
Bangui,CF71,824057,1425276,3
Basse-Kotto,CF61,249150,380172,6
Haute-Kotto,CF52,90316,128342,3
Haut-Mbomou,CF63,57602,52314,4
Kémo,CF41,118420,183742,4
Lim-Pendé,CF34,248948,442151,3
Lobaye,CF12,246875,345108,5
Mambéré,CF24,167260,265479,4
Mambéré-Kadéï,CF21,197535,273166,4
Mbomou,CF62,164009,257803,5
Nana-Grébizi,CF42,117816,208821,3
Nana-Mambéré,CF22,233666,341796,4
Ombella-M'Poko,CF11,155438,269809,5
Ouaka,CF43,276710,446354,5
Ouham,CF32,210021,297904,4
Ouham-Fafa,CF33,159199,225479,4
Ouham-Pendé,CF31,181559,243315,4
Sangha-Mbaéré,CF23,101074,138770,3
Vakaga,CF53,52255,83188,2
