adm2_name,adm2_pcode,adm1_name,adm1_pcode
Bamingui,CF512,Bamingui-Bangoran,CF51
Ndélé,CF511,Bamingui-Bangoran,CF51
Bangui-Centre,CF711,Bangui,CF71
Bangui-Fleuve,CF713,Bangui,CF71
Bangui-Kagas,CF712,Bangui,CF71
Bangui-Rapides,CF714,Bangui,CF71
Alindao,CF612,Basse-Kotto,CF61
Kembé,CF613,Basse-Kotto,CF61
Mingala,CF614,Basse-Kotto,CF61
Mobaye,CF611,Basse-Kotto,CF61
Satéma,CF616,Basse-Kotto,CF61
Zangba,CF615,Basse-Kotto,CF61
Bambouti,CF632,Haut-Mbomou,CF63
Djémah,CF634,Haut-Mbomou,CF63
Mboki,CF635,Haut-Mbomou,CF63
Obo,CF631,Haut-Mbomou,CF63
Zémio,CF633,Haut-Mbomou,CF63
Bria,CF521,Haute-Kotto,CF52
Ouadda,CF522,Haute-Kotto,CF52
Ouandja-Kotto,CF524,Haute-Kotto,CF52
Yalinga,CF523,Haute-Kotto,CF52
Dékoa,CF412,Kémo,CF41
Mala,CF413,Kémo,CF41
Njoukou,CF414,Kémo,CF41
Sibut,CF411,Kémo,CF41
Kodi,CF344,Lim-pendé,CF34
Ndim,CF343,Lim-pendé,CF34
Ngaoundaye,CF342,Lim-pendé,CF34
Paoua,CF341,Lim-pendé,CF34
Taley,CF345,Lim-pendé,CF34
Boda,CF123,Lobaye,CF12
Boganangone,CF124,Lobaye,CF12
Boganda,CF125,Lobaye,CF12
Mbaïki,CF121,Lobaye,CF12
Moboma,CF126,Lobaye,CF12
Mongoumba,CF122,Lobaye,CF12
Amada-Gaza,CF242,Mambéré,CF24
Carnot,CF241,Mambéré,CF24
Gadzi,CF243,Mambéré,CF24
Semkpa-Mbaéré,CF244,Mambéré,CF24
Berbérati,CF211,Mambéré-Kadéï,CF21
Dédé-Mokouba,CF216,Mambéré-Kadéï,CF21
Gamboula,CF212,Mambéré-Kadéï,CF21
Sosso-Nakombo,CF215,Mambéré-Kadéï,CF21
Bakouma,CF625,Mbomou,CF62
Bangassou,CF621,Mbomou,CF62
Gambo,CF623,Mbomou,CF62
Ouango,CF622,Mbomou,CF62
Rafai,CF624,Mbomou,CF62
Kaga-Bandoro,CF421,Nana-Gribizi,CF42
Mbrès,CF422,Nana-Gribizi,CF42
Nana-Outa,CF423,Nana-Gribizi,CF42
Abba,CF224,Nana-Mambéré,CF22
Baboua,CF223,Nana-Mambéré,CF22
Baoro,CF222,Nana-Mambéré,CF22
Bouar,CF221,Nana-Mambéré,CF22
Boali,CF114,Ombella M'Poko,CF11
Bogangolo,CF113,Ombella M'Poko,CF11
Bossembélé,CF115,Ombella M'Poko,CF11
Damara,CF112,Ombella M'Poko,CF11
Yaloké,CF116,Ombella M'Poko,CF11
Bakala,CF432,Ouaka,CF43
Bambari,CF431,Ouaka,CF43
Grimari,CF433,Ouaka,CF43
Ippy,CF435,Ouaka,CF43
Kouango,CF434,Ouaka,CF43
Bossangoa,CF321,Ouham,CF32
Markounda,CF323,Ouham,CF32
Nana-Bakassa,CF322,Ouham,CF32
Nanga-Boguila,CF324,Ouham,CF32
Bocaranga,CF312,Ouham Pendé,CF31
Bossemptélé,CF316,Ouham Pendé,CF31
Bozoum,CF311,Ouham Pendé,CF31
Koui,CF313,Ouham Pendé,CF31
Batangafo,CF331,Ouham-Fafa,CF33
Bouca,CF333,Ouham-Fafa,CF33
Kabo,CF332,Ouham-Fafa,CF33
Sido,CF334,Ouham-Fafa,CF33
Bambio,CF232,Sangha-Mbaéré,CF23
Bayanga,CF233,Sangha-Mbaéré,CF23
Nola,CF231,Sangha-Mbaéré,CF23
Am-Dafok,CF534,Vakaga,CF53
Birao,CF531,Vakaga,CF53
Ouada-Djallé,CF532,Vakaga,CF53
Ouandja,CF533,Vakaga,CF53
