X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
17.2803602832481,6.98741595941391,"13388593593",node,15.625,hospital,hospital,hôpital sous prefectoral de nana bakassa,,,,,,,,,,,,,,,,,,,,,,,Nana Bakassa,176138926,1,2025/12/19 12:29:50+00,5775478a4e5a4b98a1d1d010ba960929
17.0421913544197,7.64146458122255,"2441042887",node,18.75,hospital,,PS de Oda-Kete,,"UNICEF,2012",,government,,,,,,,,,,,,,,,,,,,Oda-Kota,168848572,3,2025/07/12 18:47:30+00,de785a944cc043ec976bd4d95881f832
18.2785999403936,6.50582994072323,"2590515742",node,21.875,hospital,hospital,Centre de Santé de Bouca,,"UNICEF,2012",,government,,,,,,,,,,,,,,,,,,,Bouca,141327887,5,2023/09/16 06:22:04+00,2b71ca1721ee4877b6b82931d7ffd628
,,"260677530",way,21.875,doctors,doctor,Centre de Santé EEB Gamboula,,"Bing;UNICEF",,private,,,,,,,,,,,,,,,,,,,Gamboula,134614861,5,2023/04/07 12:54:12+00,ede4041a2e1d45b7a54dcadeb77b0a03
20.4448049987783,5.55959806493164,"7433542168",node,12.5,doctors,,New point palu ganamanji,,MissingMapsKobo,,,,,,,,,,,,,,,,,,,,,,83936180,1,2020/04/22 11:08:38+00,599ec1fe16dc4867a62515691b7ed23d
,,"263741823",way,21.875,hospital,hospital,Centre de Santé de Batobadja,,"Bing;UNICEF",,government,,,,,,,,,,,,,,,,,,,Batobadja,84320144,3,2020/04/29 08:19:15+00,0cfdd28739c74962b3f5c8982412c0ca
15.5049078999672,3.92073717576633,"4733949188",node,9.375,clinic,,Maternité du CDS Sosso Nakombo,,,,,,,,,,,,,,,,,,,,,,,,53596269,2,2017/11/07 23:29:43+00,2021a86ee89a49d3bbbec13a859407da
16.975829228605,7.22273889683871,"2440007344",node,18.75,hospital,,PS Boyanga,,"UNICEF,2012",,government,,,,,,,,,,,,,,,,,,,Boyanga-Kota,141327887,4,2023/09/16 06:22:04+00,bccbd95d015543c1a6c931bafcd7733b
15.9432486627005,5.69781925248125,"2590840276",node,18.75,doctors,,Centre de Santé Privé EEB,,UNICEF,,private,,,,,,,,,,,,,,,,,,,Baoro,88789830,4,2020/07/31 15:40:17+00,b0fe22f1ca624aa6bbb9e6f8bb2093cf
,,"754652930",way,21.875,hospital,hospital,Poste de Santé de Yamissi,,"UNICEF,2012",,government,,,,,,,,,,,,,,,,,,,Yamissi 2,84681135,4,2020/05/05 09:21:32+00,2af2e32f51c64b319dabc621ec878720
18.6269676780818,7.69168467026762,"2110769192",node,18.75,hospital,,Centre de Santé Kabo,,"MSF,UNICEF",,government / ONG,open,,,,,,,,,,,,,,,,,,,118827373,5,2022/03/23 15:48:47+00,624dd69f173f43c09c2ced077344d636
20.829799557859,6.12260815416371,"7469578179",node,9.375,hospital,hospital,,,,,,,,,,,,,,,,,,,,,,,,,119389032,2,2022/04/06 13:57:31+00,eb45a513dd3b43a0a74b6b3ef5b31987
22.2207101724686,4.65150267511311,"8904561276",node,12.5,hospital,hospital,Poste de santé de Gandakototi,,,,,,,,,,,,,,,,,,,,,,,,107642838,1,2021/07/08 14:20:37+00,5f0308436b8840f2b5461b92c50ad82d
16.4381760728535,7.24341713578681,"2417190469",node,18.75,hospital,,ACABEF,,"UNICEF,2012",,government,,,,,,,,,,,,,,,,,,,Paoua,117850383,4,2022/02/25 13:56:33+00,9db2f01b567a4bc995d87552f12422a8
17.2725978865381,6.99402777227525,"2590317910",node,21.875,hospital,hospital,Poste de Santé de Bonanse,,"UNICEF,2012",,government,,,,,,,,,,,,,,,,,,,Bonanse,115751659,6,2022/01/04 11:57:22+00,5d45cf027c304bcc9adea0e59a1a0424
,,"480373905",way,9.375,clinic,,Sale de Observación du CDS - Sosso Nakombo,,,,,,,,,,,,,,,,,,,,,,,,46836335,1,2017/03/14 10:35:04+00,4a059d4e6e024805ba5814322bdc0fa4
,,"261556656",way,18.75,doctors,,Poste de Santé de Bouzou,,UNICEF,,government,,,,,,,,,,,,,,,,,,,Bouzou,88789830,4,2020/07/31 15:40:17+00,cc8bfdc510e3473a9c4dbeaff1bf3253
15.7953999373468,6.52474999166165,"2665791731",node,18.75,doctors,,Poste de Santé Maikolo,,UNICEF,,government,,,,,,,,,,,,,,,,,,,Maikolo,88789830,2,2020/07/31 15:40:17+00,56d1bdbe341d4d57aee2796d9229d5ca
15.5007187923991,3.92261178841107,"2661864692",node,18.75,doctors,,Poste de Santé Saint Charles Lwanga (inactive),,UNICEF,,private,,,,,,,,,,,,,,,,,,,Sosso-Nakombo,88789830,4,2020/07/31 15:40:17+00,b4173a6c259549fd99389af4c04e9b8f
,,"261554818",way,21.875,hospital,hospital,Poste de Santé de Beboye,,"Bing;UNICEF",,government,,,,,,,,,,,,,,,,,,,Beboye,84259872,3,2020/04/28 10:43:50+00,b494a802ed3c46ffb197aea6772f85f7
16.7025029936486,4.77958293328922,"2696621266",node,21.875,hospital,hospital,Centre de Santé de Gadzi,,UNICEF,,government,,,,,,,,,,,,,,,,,,,Gadzi centre,137655734,2,2023/06/22 16:58:31+00,9c6f470b80d7468ea2cec8a301b4f39b
15.8656999650914,5.83060997260282,"2590840279",node,18.75,hospital,,PS Koursou,,UNICEF,,government,,,,,,,,,,,,,,,,,,,Koursou,20743746,2,2014/02/24 02:13:55+00,69419764563a48ae837d67e10c344120
,,"260994757",way,18.75,doctors,,Centre de Santé de Bayanga-Didi,,UNICEF,,government,,,,,,,,,,,,,,,,,,,Bayanga-Didi,88789830,4,2020/07/31 15:40:17+00,e79462c60ddb4bc8882c9287dd0eb593
,,"188499972",way,21.875,hospital,hospital,Centre de santé scolaire et universitaire de Bangui,,"Bing;survey",,government,open,,,,,,,,,,,,,,,,,,,107249315,6,2021/07/01 09:06:20+00,45e899636a454a66894e9edb966648a9
22.8277323779794,4.74358265915896,"5000266554",node,9.375,hospital,,Hôpital MSF-B,,,,,,,,,,,,,,,,,,,,,,,,50653239,1,2017/07/28 16:07:29+00,062308a8bba84055ad9381c4f19c8414
17.0893030984919,5.32094298571926,"8483585628",node,12.5,hospital,,Yaloke secondary hospital,,MSFsurvey,,,,,,,,,,,,,,,,,,,,,,100368198,1,2021/03/03 17:59:02+00,9870668850d44d4b87a27a5a0f09036e
15.4054999532528,6.62948991844175,"2659652582",node,18.75,doctors,,Poste de Santé Danko Bira,,UNICEF,,government,,,,,,,,,,,,,,,,,,,Danko Bira,88789830,3,2020/07/31 15:40:17+00,49ddba1dc33b4711ada50fdd30c7aab1
19.114399990417,6.73427996900284,"2669537543",node,18.75,hospital,,Poste de Santé de Badia,,UNICEF,,government,,,,,,,,,,,,,,,,,,,Badia,20533834,1,2014/02/13 01:54:18+00,14e079c710424573b5686b33faebca5d
,,"778511629",way,12.5,pharmacy,pharmacy,"Pharmacie, ANC/PMC/PMTCT",,,,,,,,,,,,,,,,,,,,,,,,141566331,5,2023/09/21 15:51:36+00,caccca82d28c4d1692a6e16b359ccbdb
19.0274999387133,7.11441998122254,"2590668545",node,18.75,hospital,,PS de Patcho,,"UNICEF,2012",,government,,,,,,,,,,,,,,,,,,,Patcho,84681135,3,2020/05/05 09:21:32+00,e98395cff42344f6b3df449ec6a39f49
16.1089999597665,4.00002997978777,"2659976340",node,18.75,doctors,,Centre de Santé privé EEB de Bania,,UNICEF,,private,,,,,,,,,,,,,,,,,,,Bania,88789830,2,2020/07/31 15:40:17+00,549e75a170e244f68f514cc0818d728d
,,"261233099",way,12.5,clinic,clinic,,,Bing,,,,,,,,,,,,,,,,,,,,,,137802430,2,2023/06/26 17:40:30+00,734acb9ea20d4c0d843de3297b221db8
,,"261321250",way,21.875,hospital,hospital,Poste de Santé de Ndenga,,"Bing;UNICEF",,government,,,,,,,,,,,,,,,,,,,Denga,84259872,3,2020/04/28 10:43:50+00,895f96c0ea684e6baf53e760773aa55f
,,"362762708",way,12.5,hospital,hospital,Centre De Sante Zime Fleuve,,,,,,,,,,,,,,,,,,,,,,,,84320144,3,2020/04/29 08:19:15+00,c29ac3cae1e44d2fa2be2de6f21ebbe8
20.6699223823561,5.75788497645104,"11966306669",node,12.5,,laboratory,Laboratory,MSF,,,,,,,,,,,,,,,,,,,,,,,152449984,1,2024/06/09 11:18:15+00,353b7e4382f54eccbd8cf4d7a59e1ad8
,,"796855801",way,18.75,doctors,,Centre de Santé de Niem,,UNICEF,,government,,,,,,,,,,,,,,,,,,,Niem,88789830,2,2020/07/31 15:40:17+00,abb1d36ad6a241a4905f3ed764c66794
20.7101999416758,5.32377992466735,"2664379225",node,18.75,hospital,,Poste de Santé de Ngakobo,,UNICEF,,government,,,,,,,,,,,,,,,,,,,Ngakobo,20476640,1,2014/02/10 02:14:05+00,0e8f0156fcb54bdc882c87b8d02e2785
,,"784201278",way,18.75,doctors,,Centre de Santé De Gaulle,,UNICEF,,government,,,,,,,,,,,,,,,,,,,Degaulle,88789830,5,2020/07/31 15:40:17+00,f6310d224a834b0bbb6b362e9a96d30f
,,"747118272",way,21.875,hospital,hospital,Centre de santé Raoul Fol,,"UNICEF,2012",,private,,,,,,,,,,,,,,,,,,,Bossangoa,141327887,5,2023/09/16 06:22:04+00,77f9d56126e342f2b3b75e3c000c7907
,,"189662266",way,15.625,hospital,hospital,ACABEF,,Bing,,,,,,,,,,,,,,,,,,,,,,84320144,3,2020/04/29 08:19:15+00,e1e64b6c6cca479aa025a8f69c4958ef
