date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
2004-01-15,Bangui,Bangui,Bangui,685,4.37,18.58,cereals and tubers,Cassava (cossette),302,KG,actual,Retail,XAF,219.08,0.42
2004-01-15,Bangui,Bangui,Bangui,685,4.37,18.58,cereals and tubers,Maize,51,KG,actual,Retail,XAF,368.92,0.71
2004-01-15,Bangui,Bangui,Bangui,685,4.37,18.58,cereals and tubers,Millet,73,KG,actual,Retail,XAF,376.76,0.72
2004-02-15,Bangui,Bangui,Bangui,685,4.37,18.58,cereals and tubers,Cassava (cossette),302,KG,actual,Retail,XAF,236.06,0.46
2004-02-15,Bangui,Bangui,Bangui,685,4.37,18.58,cereals and tubers,Maize,51,KG,actual,Retail,XAF,307.47,0.6
2004-02-15,Bangui,Bangui,Bangui,685,4.37,18.58,cereals and tubers,Millet,73,KG,actual,Retail,XAF,374.43,0.73
2004-02-15,Bangui,Bangui,Bangui,685,4.37,18.58,cereals and tubers,Rice,52,KG,actual,Retail,XAF,508.32,0.99
2004-03-15,Bangui,Bangui,Bangui,685,4.37,18.58,cereals and tubers,Cassava (cossette),302,KG,actual,Retail,XAF,209.27,0.39
2004-03-15,Bangui,Bangui,Bangui,685,4.37,18.58,cereals and tubers,Maize,51,KG,actual,Retail,XAF,349.79,0.66
2004-03-15,Bangui,Bangui,Bangui,685,4.37,18.58,cereals and tubers,Millet,73,KG,actual,Retail,XAF,362.28,0.68
2004-03-15,Bangui,Bangui,Bangui,685,4.37,18.58,cereals and tubers,Rice,52,KG,actual,Retail,XAF,451.71,0.85
2004-03-15,Bangui,Bangui,Bangui,685,4.37,18.58,cereals and tubers,Wheat flour,58,KG,actual,Retail,XAF,412.7,0.77
2004-04-15,Bangui,Bangui,Bangui,685,4.37,18.58,cereals and tubers,Cassava (cossette),302,KG,actual,Retail,XAF,231.03,0.42
2004-04-15,Bangui,Bangui,Bangui,685,4.37,18.58,cereals and tubers,Maize,51,KG,actual,Retail,XAF,349.79,0.64
2004-04-15,Bangui,Bangui,Bangui,685,4.37,18.58,cereals and tubers,Millet,73,KG,actual,Retail,XAF,362.28,0.66
2004-04-15,Bangui,Bangui,Bangui,685,4.37,18.58,cereals and tubers,Rice,52,KG,actual,Retail,XAF,492.89,0.9
2004-04-15,Bangui,Bangui,Bangui,685,4.37,18.58,cereals and tubers,Wheat flour,58,KG,actual,Retail,XAF,440.89,0.81
2004-05-15,Bangui,Bangui,Bangui,685,4.37,18.58,cereals and tubers,Cassava (cossette),302,KG,actual,Retail,XAF,247.7,0.45
2004-05-15,Bangui,Bangui,Bangui,685,4.37,18.58,cereals and tubers,Maize,51,KG,actual,Retail,XAF,322.3,0.59
2004-05-15,Bangui,Bangui,Bangui,685,4.37,18.58,cereals and tubers,Millet,73,KG,actual,Retail,XAF,420.15,0.76
2004-05-15,Bangui,Bangui,Bangui,685,4.37,18.58,cereals and tubers,Rice,52,KG,actual,Retail,XAF,503.88,0.92
2004-05-15,Bangui,Bangui,Bangui,685,4.37,18.58,cereals and tubers,Wheat flour,58,KG,actual,Retail,XAF,442.66,0.81
2004-06-15,Bangui,Bangui,Bangui,685,4.37,18.58,cereals and tubers,Cassava (cossette),302,KG,actual,Retail,XAF,242.69,0.45
2004-06-15,Bangui,Bangui,Bangui,685,4.37,18.58,cereals and tubers,Maize,51,KG,actual,Retail,XAF,319.43,0.59
2004-06-15,Bangui,Bangui,Bangui,685,4.37,18.58,cereals and tubers,Millet,73,KG,actual,Retail,XAF,420.15,0.78
2004-06-15,Bangui,Bangui,Bangui,685,4.37,18.58,cereals and tubers,Rice,52,KG,actual,Retail,XAF,515.69,0.96
