entity_id,source_id,alias,alias_type
cf-pays-centrafrique-v1,cod-ab-caf,CF,pcode
cf-p-bamingui-bangoran-v1,cod-ab-caf,CF51,pcode
cf-p-bangui-v1,cod-ab-caf,CF71,pcode
cf-p-basse-kotto-v1,cod-ab-caf,CF61,pcode
cf-p-haut-mbomou-v1,cod-ab-caf,CF63,pcode
cf-p-haute-kotto-v1,cod-ab-caf,CF52,pcode
cf-p-kemo-v1,cod-ab-caf,CF41,pcode
cf-p-lim-pende-v1,cod-ab-caf,CF34,pcode
cf-p-lobaye-v1,cod-ab-caf,CF12,pcode
cf-p-mambere-v1,cod-ab-caf,CF24,pcode
cf-p-mambere-kadei-v1,cod-ab-caf,CF21,pcode
cf-p-mbomou-v1,cod-ab-caf,CF62,pcode
cf-p-nana-gribizi-v1,cod-ab-caf,CF42,pcode
cf-p-nana-mambere-v1,cod-ab-caf,CF22,pcode
cf-p-ombella-mpoko-v1,cod-ab-caf,CF11,pcode
cf-p-ouaka-v1,cod-ab-caf,CF43,pcode
cf-p-ouham-v1,cod-ab-caf,CF32,pcode
cf-p-ouham-pende-v1,cod-ab-caf,CF31,pcode
cf-p-ouham-fafa-v1,cod-ab-caf,CF33,pcode
cf-p-sangha-mbaere-v1,cod-ab-caf,CF23,pcode
cf-p-vakaga-v1,cod-ab-caf,CF53,pcode
cf-sp-bamingui-v1,cod-ab-caf,CF512,pcode
cf-sp-ndele-v1,cod-ab-caf,CF511,pcode
cf-sp-bangui-centre-v1,cod-ab-caf,CF711,pcode
cf-sp-bangui-fleuve-v1,cod-ab-caf,CF713,pcode
cf-sp-bangui-kagas-v1,cod-ab-caf,CF712,pcode
cf-sp-bangui-rapides-v1,cod-ab-caf,CF714,pcode
cf-sp-alindao-v1,cod-ab-caf,CF612,pcode
cf-sp-kembe-v1,cod-ab-caf,CF613,pcode
cf-sp-mingala-v1,cod-ab-caf,CF614,pcode
cf-sp-mobaye-v1,cod-ab-caf,CF611,pcode
cf-sp-satema-v1,cod-ab-caf,CF616,pcode
cf-sp-zangba-v1,cod-ab-caf,CF615,pcode
cf-sp-bambouti-v1,cod-ab-caf,CF632,pcode
cf-sp-djemah-v1,cod-ab-caf,CF634,pcode
cf-sp-mboki-v1,cod-ab-caf,CF635,pcode
cf-sp-obo-v1,cod-ab-caf,CF631,pcode
cf-sp-zemio-v1,cod-ab-caf,CF633,pcode
cf-sp-bria-v1,cod-ab-caf,CF521,pcode
cf-sp-ouadda-v1,cod-ab-caf,CF522,pcode
cf-sp-ouandja-kotto-v1,cod-ab-caf,CF524,pcode
cf-sp-yalinga-v1,cod-ab-caf,CF523,pcode
cf-sp-dekoa-v1,cod-ab-caf,CF412,pcode
cf-sp-mala-v1,cod-ab-caf,CF413,pcode
cf-sp-njoukou-v1,cod-ab-caf,CF414,pcode
cf-sp-sibut-v1,cod-ab-caf,CF411,pcode
cf-sp-kodi-v1,cod-ab-caf,CF344,pcode
cf-sp-ndim-v1,cod-ab-caf,CF343,pcode
cf-sp-ngaoundaye-v1,cod-ab-caf,CF342,pcode
cf-sp-paoua-v1,cod-ab-caf,CF341,pcode
cf-sp-taley-v1,cod-ab-caf,CF345,pcode
cf-sp-boda-v1,cod-ab-caf,CF123,pcode
cf-sp-boganangone-v1,cod-ab-caf,CF124,pcode
cf-sp-boganda-v1,cod-ab-caf,CF125,pcode
cf-sp-mbaiki-v1,cod-ab-caf,CF121,pcode
cf-sp-moboma-v1,cod-ab-caf,CF126,pcode
cf-sp-mongoumba-v1,cod-ab-caf,CF122,pcode
cf-sp-amada-gaza-v1,cod-ab-caf,CF242,pcode
cf-sp-carnot-v1,cod-ab-caf,CF241,pcode
cf-sp-gadzi-v1,cod-ab-caf,CF243,pcode
cf-sp-semkpa-mbaere-v1,cod-ab-caf,CF244,pcode
cf-sp-berberati-v1,cod-ab-caf,CF211,pcode
cf-sp-dede-mokouba-v1,cod-ab-caf,CF216,pcode
cf-sp-gamboula-v1,cod-ab-caf,CF212,pcode
cf-sp-sosso-nakombo-v1,cod-ab-caf,CF215,pcode
cf-sp-bakouma-v1,cod-ab-caf,CF625,pcode
cf-sp-bangassou-v1,cod-ab-caf,CF621,pcode
cf-sp-gambo-v1,cod-ab-caf,CF623,pcode
cf-sp-ouango-v1,cod-ab-caf,CF622,pcode
cf-sp-rafai-v1,cod-ab-caf,CF624,pcode
cf-sp-kaga-bandoro-v1,cod-ab-caf,CF421,pcode
cf-sp-mbres-v1,cod-ab-caf,CF422,pcode
cf-sp-nana-outa-v1,cod-ab-caf,CF423,pcode
cf-sp-abba-v1,cod-ab-caf,CF224,pcode
cf-sp-baboua-v1,cod-ab-caf,CF223,pcode
cf-sp-baoro-v1,cod-ab-caf,CF222,pcode
cf-sp-bouar-v1,cod-ab-caf,CF221,pcode
cf-sp-boali-v1,cod-ab-caf,CF114,pcode
cf-sp-bogangolo-v1,cod-ab-caf,CF113,pcode
cf-sp-bossembele-v1,cod-ab-caf,CF115,pcode
cf-sp-damara-v1,cod-ab-caf,CF112,pcode
cf-sp-yaloke-v1,cod-ab-caf,CF116,pcode
cf-sp-bakala-v1,cod-ab-caf,CF432,pcode
cf-sp-bambari-v1,cod-ab-caf,CF431,pcode
cf-sp-grimari-v1,cod-ab-caf,CF433,pcode
cf-sp-ippy-v1,cod-ab-caf,CF435,pcode
cf-sp-kouango-v1,cod-ab-caf,CF434,pcode
cf-sp-bossangoa-v1,cod-ab-caf,CF321,pcode
cf-sp-markounda-v1,cod-ab-caf,CF323,pcode
cf-sp-nana-bakassa-v1,cod-ab-caf,CF322,pcode
cf-sp-nanga-boguila-v1,cod-ab-caf,CF324,pcode
cf-sp-bocaranga-v1,cod-ab-caf,CF312,pcode
cf-sp-bossemptele-v1,cod-ab-caf,CF316,pcode
cf-sp-bozoum-v1,cod-ab-caf,CF311,pcode
cf-sp-koui-v1,cod-ab-caf,CF313,pcode
cf-sp-batangafo-v1,cod-ab-caf,CF331,pcode
cf-sp-bouca-v1,cod-ab-caf,CF333,pcode
cf-sp-kabo-v1,cod-ab-caf,CF332,pcode
cf-sp-sido-v1,cod-ab-caf,CF334,pcode
cf-sp-bambio-v1,cod-ab-caf,CF232,pcode
cf-sp-bayanga-v1,cod-ab-caf,CF233,pcode
cf-sp-nola-v1,cod-ab-caf,CF231,pcode
cf-sp-am-dafok-v1,cod-ab-caf,CF534,pcode
cf-sp-birao-v1,cod-ab-caf,CF531,pcode
cf-sp-ouada-djalle-v1,cod-ab-caf,CF532,pcode
cf-sp-ouandja-v1,cod-ab-caf,CF533,pcode
cf-p-lim-pende-v1,wikipedia-fr-prefectures,Lime-Pendé,name
cf-p-nana-gribizi-v1,wikipedia-fr-prefectures,Nana-Grébizi,name
cf-p-ombella-mpoko-v1,wikipedia-fr-prefectures,Ombella-M'Poko,name
cf-r-plateaux-v1,minurbanisme-rca-regions,https://www.minurbanisme-rca.org/1-plateaux/,code
cf-r-equateur-v1,minurbanisme-rca-regions,https://www.minurbanisme-rca.org/2-equateur/,code
cf-r-yade-v1,minurbanisme-rca-regions,https://www.minurbanisme-rca.org/3-yade/,code
cf-r-kaga-v1,minurbanisme-rca-regions,https://www.minurbanisme-rca.org/4-kaga/,code
cf-r-fertit-v1,minurbanisme-rca-regions,https://www.minurbanisme-rca.org/5-fertit/,code
cf-r-haut-oubangui-v1,minurbanisme-rca-regions,https://www.minurbanisme-rca.org/6-haut-oubangui/,code
cf-r-bas-oubangui-v1,minurbanisme-rca-regions,https://www.minurbanisme-rca.org/7-bas-oubangui/,code
cf-p-bamingui-bangoran-v1,citypopulation-de-caf,CF51,pcode
cf-p-bangui-v1,citypopulation-de-caf,CF71,pcode
cf-p-basse-kotto-v1,citypopulation-de-caf,CF61,pcode
cf-p-haute-kotto-v1,citypopulation-de-caf,CF52,pcode
cf-p-haut-mbomou-v1,citypopulation-de-caf,CF63,pcode
cf-p-kemo-v1,citypopulation-de-caf,CF41,pcode
cf-p-lim-pende-v1,citypopulation-de-caf,CF34,pcode
cf-p-lobaye-v1,citypopulation-de-caf,CF12,pcode
cf-p-mambere-v1,citypopulation-de-caf,CF24,pcode
cf-p-mambere-kadei-v1,citypopulation-de-caf,CF21,pcode
cf-p-mbomou-v1,citypopulation-de-caf,CF62,pcode
cf-p-nana-gribizi-v1,citypopulation-de-caf,CF42,pcode
cf-p-nana-mambere-v1,citypopulation-de-caf,CF22,pcode
cf-p-ombella-mpoko-v1,citypopulation-de-caf,CF11,pcode
cf-p-ouaka-v1,citypopulation-de-caf,CF43,pcode
cf-p-ouham-v1,citypopulation-de-caf,CF32,pcode
cf-p-ouham-fafa-v1,citypopulation-de-caf,CF33,pcode
cf-p-ouham-pende-v1,citypopulation-de-caf,CF31,pcode
cf-p-sangha-mbaere-v1,citypopulation-de-caf,CF23,pcode
cf-p-vakaga-v1,citypopulation-de-caf,CF53,pcode
cf-sp-bambouti-v1,citypopulation-de-caf,CF632,pcode
cf-sp-bambouti-v1,citypopulation-de-caf,Bambouti,name
cf-sp-djemah-v1,citypopulation-de-caf,CF634,pcode
cf-sp-djemah-v1,citypopulation-de-caf,Djemah,name
cf-sp-obo-v1,citypopulation-de-caf,CF631,pcode
cf-sp-obo-v1,citypopulation-de-caf,Obo,name
cf-sp-zemio-v1,citypopulation-de-caf,CF633,pcode
cf-sp-zemio-v1,citypopulation-de-caf,Zémio,name
cf-sp-birao-v1,citypopulation-de-caf,CF531,pcode
cf-sp-birao-v1,citypopulation-de-caf,Birao,name
cf-sp-ouada-djalle-v1,citypopulation-de-caf,CF532,pcode
cf-sp-ouada-djalle-v1,citypopulation-de-caf,Ouanda Djallé,name
cf-sp-bria-v1,citypopulation-de-caf,CF521,pcode
cf-sp-bria-v1,citypopulation-de-caf,Bria,name
cf-sp-ouadda-v1,citypopulation-de-caf,CF522,pcode
cf-sp-ouadda-v1,citypopulation-de-caf,Ouadda,name
cf-sp-yalinga-v1,citypopulation-de-caf,CF523,pcode
cf-sp-yalinga-v1,citypopulation-de-caf,Yalinga,name
cf-sp-boda-v1,citypopulation-de-caf,CF123,pcode
cf-sp-boda-v1,citypopulation-de-caf,Boda,name
cf-sp-boganangone-v1,citypopulation-de-caf,CF124,pcode
cf-sp-boganangone-v1,citypopulation-de-caf,Boganangone,name
cf-sp-boganda-v1,citypopulation-de-caf,CF125,pcode
cf-sp-boganda-v1,citypopulation-de-caf,Boganda,name
cf-sp-mbaiki-v1,citypopulation-de-caf,CF121,pcode
cf-sp-mbaiki-v1,citypopulation-de-caf,Mbaïki,name
cf-sp-mongoumba-v1,citypopulation-de-caf,CF122,pcode
cf-sp-mongoumba-v1,citypopulation-de-caf,Mongoumba,name
cf-sp-ngaoundaye-v1,citypopulation-de-caf,CF342,pcode
cf-sp-ngaoundaye-v1,citypopulation-de-caf,Ngaoundaye,name
cf-sp-paoua-v1,citypopulation-de-caf,CF341,pcode
cf-sp-paoua-v1,citypopulation-de-caf,Paoua,name
