entity_id,name_fr,slug,level,parent_id,valid_from,valid_to,superseded_by,notes
cf-pays-centrafrique-v1,République centrafricaine,republique-centrafricaine,pays,,1960-08-13,,,"Niveau pays. Indépendance le 13 août 1960, confirmée via Encyclopædia Britannica le 2026-09-11 (source non contestée, contrairement au découpage administratif interne)."
cf-p-bamingui-bangoran-v1,Bamingui-Bangoran,bamingui-bangoran,prefecture,cf-r-fertit-v1,2021-01-21,,,"Existait avant 2020 sous le découpage à 16 préfectures ; limites redéfinies par la Loi n°21.001 du 21 janvier 2021 (adoptée le 2020-12-10, promulguée le 2021-01-21). Version antérieure à 2020 non modélisée dans ce crosswalk pour l'instant."
cf-p-bangui-v1,Bangui,bangui,prefecture,cf-r-bas-oubangui-v1,2021-01-21,,,"Créée par la Loi n°21.001 du 21 janvier 2021 (adoptée par l'Assemblée nationale le 2020-12-10, promulguée le 2021-01-21) (source : Oubangui Médias, Xinhua, Wikipédia - texte légal primaire/numéro de décret non encore vérifié)."
cf-p-basse-kotto-v1,Basse-Kotto,basse-kotto,prefecture,cf-r-haut-oubangui-v1,2021-01-21,,,"Existait avant 2020 sous le découpage à 16 préfectures ; limites redéfinies par la Loi n°21.001 du 21 janvier 2021 (adoptée le 2020-12-10, promulguée le 2021-01-21). Version antérieure à 2020 non modélisée dans ce crosswalk pour l'instant."
cf-p-haut-mbomou-v1,Haut-Mbomou,haut-mbomou,prefecture,cf-r-haut-oubangui-v1,2021-01-21,,,"Existait avant 2020 sous le découpage à 16 préfectures ; limites redéfinies par la Loi n°21.001 du 21 janvier 2021 (adoptée le 2020-12-10, promulguée le 2021-01-21). Version antérieure à 2020 non modélisée dans ce crosswalk pour l'instant."
cf-p-haute-kotto-v1,Haute-Kotto,haute-kotto,prefecture,cf-r-fertit-v1,2021-01-21,,,"Existait avant 2020 sous le découpage à 16 préfectures ; limites redéfinies par la Loi n°21.001 du 21 janvier 2021 (adoptée le 2020-12-10, promulguée le 2021-01-21). Version antérieure à 2020 non modélisée dans ce crosswalk pour l'instant."
cf-p-kemo-v1,Kémo,kemo,prefecture,cf-r-kaga-v1,2021-01-21,,,"Existait avant 2020 sous le découpage à 16 préfectures ; limites redéfinies par la Loi n°21.001 du 21 janvier 2021 (adoptée le 2020-12-10, promulguée le 2021-01-21). Version antérieure à 2020 non modélisée dans ce crosswalk pour l'instant."
cf-p-lim-pende-v1,Lim-pendé,lim-pende,prefecture,cf-r-yade-v1,2021-01-21,,,"Créée par la Loi n°21.001 du 21 janvier 2021 (adoptée par l'Assemblée nationale le 2020-12-10, promulguée le 2021-01-21) (source : Oubangui Médias, Xinhua, Wikipédia - texte légal primaire/numéro de décret non encore vérifié)."
cf-p-lobaye-v1,Lobaye,lobaye,prefecture,cf-r-plateaux-v1,2021-01-21,,,"Existait avant 2020 sous le découpage à 16 préfectures ; limites redéfinies par la Loi n°21.001 du 21 janvier 2021 (adoptée le 2020-12-10, promulguée le 2021-01-21). Version antérieure à 2020 non modélisée dans ce crosswalk pour l'instant."
cf-p-mambere-v1,Mambéré,mambere,prefecture,cf-r-equateur-v1,2021-01-21,,,"Créée par la Loi n°21.001 du 21 janvier 2021 (adoptée par l'Assemblée nationale le 2020-12-10, promulguée le 2021-01-21) (source : Oubangui Médias, Xinhua, Wikipédia - texte légal primaire/numéro de décret non encore vérifié)."
cf-p-mambere-kadei-v1,Mambéré-Kadéï,mambere-kadei,prefecture,cf-r-equateur-v1,2021-01-21,,,"Existait avant 2020 sous le découpage à 16 préfectures ; limites redéfinies par la Loi n°21.001 du 21 janvier 2021 (adoptée le 2020-12-10, promulguée le 2021-01-21). Version antérieure à 2020 non modélisée dans ce crosswalk pour l'instant."
cf-p-mbomou-v1,Mbomou,mbomou,prefecture,cf-r-haut-oubangui-v1,2021-01-21,,,"Existait avant 2020 sous le découpage à 16 préfectures ; limites redéfinies par la Loi n°21.001 du 21 janvier 2021 (adoptée le 2020-12-10, promulguée le 2021-01-21). Version antérieure à 2020 non modélisée dans ce crosswalk pour l'instant."
cf-p-nana-gribizi-v1,Nana-Gribizi,nana-gribizi,prefecture,cf-r-kaga-v1,2021-01-21,,,"Existait avant 2020 sous le découpage à 16 préfectures ; limites redéfinies par la Loi n°21.001 du 21 janvier 2021 (adoptée le 2020-12-10, promulguée le 2021-01-21). Version antérieure à 2020 non modélisée dans ce crosswalk pour l'instant."
cf-p-nana-mambere-v1,Nana-Mambéré,nana-mambere,prefecture,cf-r-equateur-v1,2021-01-21,,,"Existait avant 2020 sous le découpage à 16 préfectures ; limites redéfinies par la Loi n°21.001 du 21 janvier 2021 (adoptée le 2020-12-10, promulguée le 2021-01-21). Version antérieure à 2020 non modélisée dans ce crosswalk pour l'instant."
cf-p-ombella-mpoko-v1,Ombella M'Poko,ombella-mpoko,prefecture,cf-r-plateaux-v1,2021-01-21,,,"Existait avant 2020 sous le découpage à 16 préfectures ; limites redéfinies par la Loi n°21.001 du 21 janvier 2021 (adoptée le 2020-12-10, promulguée le 2021-01-21). Version antérieure à 2020 non modélisée dans ce crosswalk pour l'instant."
cf-p-ouaka-v1,Ouaka,ouaka,prefecture,cf-r-kaga-v1,2021-01-21,,,"Existait avant 2020 sous le découpage à 16 préfectures ; limites redéfinies par la Loi n°21.001 du 21 janvier 2021 (adoptée le 2020-12-10, promulguée le 2021-01-21). Version antérieure à 2020 non modélisée dans ce crosswalk pour l'instant."
