indicator_id,name_fr,definition_fr,unit,theme,geographic_floor
population_totale,Population totale,"Cet indicateur donne le nombre total d'habitants dénombrés lors d'un recensement, ou estimés par projection entre deux recensements, pour cette entité géographique.",habitants,population,sous_prefecture
prix_ihpc_global,Indice des prix à la consommation (IHPC),"L'indice harmonisé des prix à la consommation couvre toutes les fonctions COICOP, en base 2019 = 100. Il mesure l'évolution moyenne des prix payés par les ménages pour un panier fixe de biens et de services, et sert à calculer l'inflation plutôt qu'à indiquer un niveau de prix en monnaie réelle.",indice,prix,pays
acces_electricite,Accès à l'électricité,"Cet indicateur mesure la part de la population ayant accès à l'électricité, toutes sources de raccordement confondues.",%,infrastructures,pays
taux_achevement_primaire,Taux d'achèvement du primaire,"Ce taux mesure la part d'une cohorte d'âge ayant achevé le cycle d'enseignement primaire, tous sexes confondus. Un chiffre bas signifie que beaucoup d'enfants entrent à l'école sans en terminer le cycle, et non qu'ils n'y entrent jamais.",%,education,pays
taux_achevement_secondaire_1er_cycle,Taux d'achèvement du premier cycle du secondaire,"Ce taux mesure la part d'une cohorte d'âge ayant achevé le premier cycle de l'enseignement secondaire (collège), tous sexes confondus.",%,education,pays
taux_achevement_secondaire_2nd_cycle,Taux d'achèvement du second cycle du secondaire,"Ce taux mesure la part d'une cohorte d'âge ayant achevé le second cycle de l'enseignement secondaire (lycée), tous sexes confondus.",%,education,pays
taux_scolarisation_brut_primaire,"Taux brut de scolarisation, primaire","Ce taux rapporte les effectifs scolarisés dans le primaire, quel que soit leur âge, à la population d'âge officiellement primaire. Il peut dépasser 100 %, car les redoublants et les entrées tardives comptent dans les effectifs sans changer la population de référence.",%,education,pays
taux_scolarisation_net_primaire,"Taux net de scolarisation, primaire","Ce taux rapporte les effectifs scolarisés dans le primaire et ayant l'âge officiel du primaire à la population de cet âge. Contrairement au taux brut, il ne peut pas dépasser 100 %, puisqu'il ne compte que les élèves ayant l'âge attendu pour ce cycle.",%,education,pays
taux_scolarisation_brut_secondaire_1er_cycle,"Taux brut de scolarisation, premier cycle du secondaire","Ce taux rapporte les effectifs scolarisés dans le premier cycle du secondaire, quel que soit leur âge, à la population d'âge officiel correspondant.",%,education,pays
taux_scolarisation_brut_secondaire_2nd_cycle,"Taux brut de scolarisation, second cycle du secondaire","Ce taux rapporte les effectifs scolarisés dans le second cycle du secondaire, quel que soit leur âge, à la population d'âge officiel correspondant.",%,education,pays
taux_scolarisation_brut_superieur,"Taux brut de scolarisation, enseignement supérieur","Ce taux rapporte les effectifs inscrits dans l'enseignement supérieur, quel que soit leur âge, à la population ayant l'âge théorique de sortie du secondaire.",%,education,pays
taux_redoublement_primaire,"Taux de redoublement, primaire","Ce taux mesure la part des élèves du primaire, toutes années confondues, inscrits dans la même classe que l'année précédente. Un taux élevé indique un système où beaucoup d'élèves redoublent plutôt que de progresser.",%,education,pays
taux_survie_primaire,Taux de survie jusqu'à la dernière année du primaire,"Ce taux mesure la part d'une cohorte d'élèves entrés en première année du primaire qui atteignent la dernière année du cycle, avec ou sans redoublement. Il se lit comme l'inverse d'un taux d'abandon.",%,education,pays
taux_non_scolarisation_primaire,"Taux de non-scolarisation, âge du primaire","Ce taux mesure la part des enfants ayant l'âge officiel du primaire qui ne sont scolarisés à aucun niveau, primaire ou autre.",%,education,pays
taux_non_scolarisation_secondaire_1er_cycle,"Taux de non-scolarisation, âge du premier cycle du secondaire",Ce taux mesure la part des adolescents ayant l'âge officiel du premier cycle du secondaire qui ne sont scolarisés à aucun niveau.,%,education,pays
taux_non_scolarisation_secondaire_2nd_cycle,"Taux de non-scolarisation, âge du second cycle du secondaire",Ce taux mesure la part des jeunes ayant l'âge officiel du second cycle du secondaire qui ne sont scolarisés à aucun niveau.,%,education,pays
taux_alphabetisation_jeunes,Taux d'alphabétisation des jeunes (15-24 ans),"Ce taux mesure la part de la population âgée de 15 à 24 ans capable de lire et écrire un énoncé simple sur la vie courante. Il reflète surtout la scolarisation passée, ce qui en fait un indicateur retardé plutôt qu'immédiat.",%,education,pays
taux_alphabetisation_adultes,Taux d'alphabétisation des adultes (15 ans et plus),Ce taux mesure la part de la population âgée de 15 ans et plus capable de lire et écrire un énoncé simple sur la vie courante.,%,education,pays
