source_id,producer,dataset_name,url,licence,licence_notes,geography_vintage,update_cadence,retrieved_at,staleness_thresholds,authority_rank,access_notes
cod-ab-caf,OCHA RCA (contributeur) ; source des données selon les métadonnées HDX : ICASEES ; contrôle qualité par OCHA FIS / HDX,"République centrafricaine - Limites administratives infranationales (COD-AB), version 02",https://data.humdata.org/dataset/cod-ab-caf,CC BY-IGO,Les métadonnées HDX indiquent isopen:false. Mise en garde : en attente de validation par l'ICASEES ; le Coordonnateur humanitaire a accordé une autorisation spéciale pour un usage strictement humanitaire (2025) ; une clause de non-responsabilité ONU/neutralité RCA est obligatoire en cas de partage ou de publication. Pas encore résolu pour la redistribution publique de ce projet.,v02 ; valide depuis le 2024-05-30 ; révisée le 2026-03-06 ; 20 préfectures / 85 sous-préfectures ; aucune couche commune/localité dans cette version,~365 jours (fréquence de mise à jour HDX),2026-09-05,,s.o. (source géographique/de référence ; pas une source de valeur d'indicateur),Téléchargé directement : gazetteer XLSX + GeoJSON depuis les URL de ressources HDX (Shapefile/Geodatabase également disponibles). Instantané : raw/cod-ab-caf/2026-09-05/.
wikipedia-fr-prefectures,Wikipédia (communauté),Préfectures de la République centrafricaine (article),https://fr.wikipedia.org/wiki/Pr%C3%A9fectures_de_la_R%C3%A9publique_centrafricaine,CC BY-SA,"Pas une source administrative primaire - utilisée seulement pour vérifier les variantes orthographiques des noms et les associations chef-lieu, pas comme autorité pour le rapprochement lui-même.",état actuel de l'article au moment de la récupération du 2026-09-05 ; attribue la structure à 20 préfectures à « la loi de 2020-2021 »,modifiable en continu,2026-09-05,,s.o. (utilisée uniquement pour la vérification des noms),Récupéré via WebFetch pour corroborer la réforme de 2020 et noter les variantes orthographiques des noms.
citypopulation-de-caf,"citypopulation.de (relayant les données de l'ICASEES, selon la source indiquée par la page elle-même)",République centrafricaine : découpage administratif (préfectures et sous-préfectures),https://www.citypopulation.de/en/centralafrica/admin/,non précisée - aucune licence indiquée sur le site,"citypopulation.de n'indique lui-même aucune licence ; le site nomme l'ICASEES (CC BY 4.0) comme source de ses données, mais les conditions de redistribution du tableau compilé lui-même ne sont pas vérifiées. La page indique que ses chiffres de sous-préfecture pour 2021 sont le « résultat d'une cartographie numérique incomplète réalisée en préparation du prochain recensement » ; utilisé ici comme vérification croisée, pas comme source par défaut pour les entités.",colonne recensement 2003 + colonne estimation 2021 ; le site signale lui-même que la ventilation administrative de 2021 est incomplète,inconnue,2026-09-09,,colonne 2003 : recensement (autorité plus élevée) ; colonne 2021 : estimation explicitement signalée incomplète par la source (autorité plus faible),"Récupéré via WebFetch + instantané HTML brut (raw/citypopulation-de-caf/2026-09-09/admin_index.html) ; chiffres de population transcrits dans raw/citypopulation-de-caf/2026-09-09/admin_table_transcribed.csv, pas encore extraits automatiquement du HTML."
britannica-car-history,Encyclopædia Britannica,Histoire de la République centrafricaine (article),https://www.britannica.com/place/Central-African-Republic/Independence,"non précisée - article d'encyclopédie, pas des données sous licence ouverte",Utilisée uniquement pour confirmer un seul fait historique bien établi (la date d'indépendance) comme référence tertiaire quasi primaire ; non utilisée pour quoi que ce soit de contesté comme le découpage administratif.,état de l'article au moment de la récupération du 2026-09-11,modifiable en continu,2026-09-11,,s.o. (confirmation d'un seul fait uniquement),Récupéré via WebSearch pour confirmer la date d'indépendance de la RCA (13 août 1960) pour le valid_from de l'entité pays.
loi-21-001-2021,République Centrafricaine (Assemblée nationale / promulgation présidentielle),Loi n°21.001 du 21 janvier 2021 relative aux circonscriptions administratives,,non précisée - texte légal primaire non localisé directement,"Le texte légal complet (PDF du Journal Officiel) n'a pas encore été récupéré directement - cité via deux pages secondaires indépendantes (limko.cm, et une page makanisi.org qui a renvoyé une erreur 403) qui donnent toutes deux les mêmes chiffres : 7 régions, 20 préfectures, 85 sous-préfectures, 175 communes. Il s'agit de la version promulguée, datée de plus d'un mois après l'adoption du 10 décembre 2020 rapportée par Oubangui Médias/Xinhua (qui indiquait 84 sous-préfectures) ; le chiffre a probablement changé entre l'adoption et la promulgation. Indique aussi que Bangui compte 10 arrondissements (contre 8 auparavant) - un troisième chiffre face au « 9 » de l'ICASEES lui-même, non résolu séparément.",promulguée le 2021-01-21,"s.o. (loi, non mise à jour)",2026-09-11,,législation nationale (rang le plus élevé du classement d'autorité pour le découpage administratif),"Deux citations secondaires indépendantes trouvées, dont une récupérée et citée directement (limko.cm) ; le PDF du Journal Officiel lui-même n'a pas été localisé lors de cette recherche."
icasees-rgph4-provisional,ICASEES (Institut Centrafricain des Statistiques et des Etudes Economiques et Sociales),RGPH-4 - résultats provisoires (recensement),https://www.icasees.org/index.php?q=statistiques&r=resultats,CC BY 4.0 (déclaré pour les données ICASEES en général),"Chiffre national (6 656 269 ; 3 312 532 hommes / 3 343 737 femmes) confirmé directement le 2026-09-13 sur la page de résultats primaire d'ICASEES (paramètres q=statistiques&r=resultats), qui affiche exactement ces valeurs sous le titre ""RCA en 2025 selon les résultats provisoires du RGPH-4"", avec la même mise en garde ""données non encore validées"". Auparavant compilé depuis des communications publiques sans URL primaire localisée malgré plusieurs tentatives (2026-09-05, 2026-09-12).",dénombrement fin 2025 ; publication ~23 août 2026,décennal,2026-09-05,provisoire - non encore validé par la source elle-même,"recensement national (rang le plus élevé), bien que marqué provisoire/non validé par ICASEES.","Confirmé directement à la source primaire le 2026-09-13 (auparavant une chaîne de provenance non vérifiée). Page consultée via l'URL ci-dessus ; densité (10,7/km²) et superficie (623 000 km²) également affichées sur la même page."
world-bank-wdi-population,World Bank (World Development Indicators),Population totale (SP.POP.TOTL),https://api.worldbank.org/v2/country/CAF/indicator/SP.POP.TOTL?format=json,CC BY 4.0 (licence standard des données Banque mondiale),,"estimations annuelles, mi-année ; dernière mise à jour des métadonnées 2026-07-13",annuelle,2026-09-12,,"estimation modélisée internationale (rang le plus bas de l'échelle publiée sur la page Méthode, hors chiffre de portail sans source citée)","Source composite selon les métadonnées de l'indicateur : UN Population Division (World Population Prospects) et offices statistiques nationaux. Récupéré directement via l'API REST publique de la Banque mondiale, sans authentification."
world-bank-electricity-access,World Bank (World Development Indicators),"Accès à l'électricité, % de la population (EG.ELC.ACCS.ZS)",https://api.worldbank.org/v2/country/CAF/indicator/EG.ELC.ACCS.ZS?format=json,CC BY 4.0 (licence standard des données Banque mondiale),,"annuel ; source primaire = SDG 7.1.1 Electrification Dataset (ESMAP/Banque mondiale, https://trackingsdg7.esmap.org/downloads), qui compile industrie/enquêtes nationales/sources internationales",annuelle,2026-09-12,,"estimation modélisée internationale, compilée en partie depuis des enquêtes nationales (le point 2019 = 14,3% correspond exactement à la valeur MICS 2018-19)","Récupéré directement via l'API REST publique de la Banque mondiale, sans authentification. 8 années (2017-2024)."
icasees-ihpc-dashboard,ICASEES (Institut Centrafricain des Statistiques et des Etudes Economiques et Sociales),"Indice des Prix à la Consommation (IHPC) - Mensuel National, 2015-2026 (fichier tableau de bord)",https://www.icasees.org/edocman/ipc_ihpc/JD_ODP_IPC_Mensuel_National_RCA_ODP1.0.xlsx,CC BY 4.0,"Explicitement en CC BY 4.0 selon la propre feuille Métadonnées du fichier - contrairement à COD-AB, aucune ambiguïté de licence ici. Une vraie nuance : la propre feuille Notes_Méthodologiques du fichier documente que les valeurs de 2015-01 à 2019-12 ont été raccordées à la base post-2020 par la personne ayant compilé ce fichier tableau de bord (« à la demande de l'utilisateur »), à l'aide d'un coefficient officiel (4,12919) cité des avertissements des propres bulletins de l'ICASEES - transparent et vérifié en interne (la note vérifie la continuité à la frontière déc-2019/janv-2020), mais on ne sait pas clairement si ce raccordement porte le même aval institutionnel que les bulletins mensuels bruts. Les valeurs brutes pré-2020 sont conservées inchangées dans la feuille Archive_Base1981_Brute du même fichier.","2015M1 à 2026M4 dans les colonnes de données ; la propre feuille de métadonnées du fichier indique une couverture « 2015M1 à 2025M9 », obsolète par rapport aux colonnes réelles - se fier aux colonnes de données comme référence.",mensuelle (selon la cadence déclarée par l'ICASEES ; la fréquence de mise à jour de ce fichier tableau de bord spécifique est inconnue),2026-09-12,,"recensement national > enquête nationale > estimation modélisée internationale > chiffre de portail sans source citée - il s'agit d'une série publiée par l'institut national de statistique lui-même, avec une licence et une méthodologie déclarée ; parmi le rang le plus élevé pour une source de valeur.","Récupéré via la liste actualités/ihpc du site de l'ICASEES (icasees.org/index.php/actualites/ihpc), lien direct vers le fichier edocman trouvé, téléchargé dans raw/icasees-ihpc/2026-09-11/, re-récupéré le 2026-09-12. Élargi le 2026-09-12 de l'indice global seul (IND1) pour couvrir aussi 3 sous-catégories COICOP nommées (alimentation IND2, santé IND7, transports IND8) et la ligne Inflation publiée (IND14) ; l'écart trouvé dans IND14 est désormais résolu par recoupement avec la série indépendante de la Banque mondiale. 9 autres sous-catégories COICOP (dont Enseignement, seulement 76/136 mois renseignés) restent non intégrées."
icasees-site,ICASEES (Institut Centrafricain des Statistiques et des Etudes Economiques et Sociales),icasees.org (site principal ; sous-répertoire rgph-4/ largement en 404),https://icasees.org/,CC BY 4.0 (déclaré pour les données ICASEES en général ; non re-vérifié page par page ici),"Site principal fonctionnel, avec un contenu daté de façon cohérente (MICS7 lancée ~22 août 2026, aide-mémoire rebasage PIB ~7 août 2026). ATTENTION SÉCURITÉ : une recherche web a fait remonter une URL de spam de type casino sur ce domaine (paramètre ?prizes%2F...) - évitée, non visitée. Le sous-répertoire /rgph-4/ a renvoyé 404 sur plusieurs URLs testées le 2026-09-11 ; les résultats provisoires du RGPH-4 et une éventuelle page de cartographie n'ont pas été localisés malgré plusieurs tentatives.",site vivant ; contenu RGPH-4 spécifique non localisé au 2026-09-11,unknown,2026-09-11,,voir quality_flag par observation,Utilisé pour une citation précise et vérifiée : un article RGPH-4 (icasees.org/index.php/actualites/316-...) décrit Bangui comme neuf (9) arrondissements plus les communes de Bimbo et Bégoua.
